ds4: [t=+12338.9ms] coordinator connected; plan: 3337 experts for this worker (coordinator keeps 5562 hottest, SSD tail active on coordinator)
ds4: [t=+24959.0ms] plan installed: 3337/3337 experts wired (22.00 GiB); serving
ds4: [t=+47218.0ms] req seq=114 L3 k=1 ids=[197] w=[0.1387] compute=1.90 ms ok
ds4: [t=+47218.1ms] tok#5 done: 14 layer-reqs, 18 experts, compute 23.99 ms (1.71 ms/layer), wall 245.05 ms, errors=0, evict-hints=14 | cache: resident=3337/3337 slabs=3 wired=22.00 GiB mlock-fail=0 B hits=114 misses=0 swaps=113
ds4: [t=+47218.2ms] tok#5 experts: L0=[33] L5=[34] L6=[3] L7=[151] L12=[18,174] L15=[183,2] L17=[91,142] L19=[173] L23=[141,252] L25=[86] L29=[129] L33=[60] L37=[29] L39=[110]
ds4: [t=+47250.5ms] req seq=115 L9 k=3 ids=[65,34,30] w=[0.3783,0.1486,0.1441] compute=1.90 ms ok
ds4: [t=+47258.7ms] req seq=116 L10 k=2 ids=[113,80] w=[0.1389,0.1258] compute=1.82 ms ok
ds4: [t=+47265.9ms] req seq=117 L11 k=1 ids=[42] w=[0.1172] compute=1.78 ms ok
ds4: [t=+47273.0ms] req seq=118 L12 k=2 ids=[174,193] w=[0.2336,0.1692] compute=1.79 ms ok
ds4: [t=+47279.2ms] req seq=119 L13 k=1 ids=[216] w=[0.1771] compute=1.82 ms ok
ds4: [t=+47289.3ms] req seq=120 L15 k=2 ids=[113,88] w=[0.2481,0.2253] compute=1.93 ms ok
ds4: [t=+47297.2ms] req seq=121 L16 k=2 ids=[140,180] w=[0.1442,0.1364] compute=1.83 ms ok
ds4: [t=+47304.8ms] req seq=122 L17 k=2 ids=[142,189] w=[0.2700,0.1989] compute=1.89 ms ok
ds4: [t=+47322.3ms] req seq=123 L19 k=1 ids=[219] w=[0.2126] compute=1.88 ms ok
ds4: [t=+47330.8ms] req seq=124 L20 k=1 ids=[107] w=[0.2266] compute=1.80 ms ok
ds4: [t=+47338.3ms] req seq=125 L21 k=2 ids=[131,146] w=[0.2105,0.1534] compute=1.87 ms ok
ds4: [t=+47345.1ms] req seq=126 L22 k=2 ids=[221,147] w=[0.2207,0.1962] compute=1.86 ms ok
ds4: [t=+47351.5ms] req seq=127 L23 k=1 ids=[80] w=[0.3407] compute=1.88 ms ok
ds4: [t=+47358.7ms] req seq=128 L24 k=1 ids=[66] w=[0.1661] compute=1.85 ms ok
ds4: [t=+47369.8ms] req seq=129 L26 k=1 ids=[122] w=[0.1336] compute=1.92 ms ok
ds4: [t=+47389.2ms] req seq=130 L30 k=1 ids=[0] w=[0.2864] compute=1.93 ms ok
ds4: [t=+47404.1ms] req seq=131 L33 k=1 ids=[13] w=[0.2379] compute=1.95 ms ok
